    
Star Data Extractor Tool (Note: This program mocks format of AIP_4_WIN)
     Image: m23_3.5_001.fit
     Stars Found:  2510
     Radius of star diaphragm: 4 and 3
     Sky annulus inner radius: 7
     Sky annulus outer radius: 11
     Threshold factor:  0.000000
      X                Y           Sigma            FWHM         Sky ADU           Star ADU 4         Star ADU 3     
  961.54          901.77            0.00            0.00           734.6            10310.0             9290.4
  350.50          794.48            0.00            0.00           735.0             8777.9             7572.2
  155.47          254.55            0.00            0.00           752.0             9594.9             8486.8
  133.32          388.99            0.00            0.00           749.2             9384.1             8241.9
  315.63          379.52            0.00            0.00           754.0             9356.4             8221.6
  696.46          335.60            0.00            0.00           731.7             9567.4             8767.4
  642.74          944.74            0.00            0.00           731.0             9885.6             8964.8
  616.40          857.49            0.00            0.00           732.5             9950.8             9080.3
  607.42          323.09            0.00            0.00           733.2             8823.6             8334.3
  593.83           66.61            0.00            0.00           733.1             9528.1             8769.1
  213.46          893.85            0.00            0.00           738.2             9629.0             8213.3
  273.32          777.90            0.00            0.00           735.0             9858.0             8864.8
  924.38          300.75            0.00            0.00           731.1             9937.4             9446.5
  966.34          521.15            0.00            0.00           731.2             9664.1             9270.9
  377.01          598.94            0.00            0.00           743.5             9474.0             8890.6
  568.39          924.07            0.00            0.00           735.6             8930.9             7945.2
  156.21          867.34            0.00            0.00           737.4             9018.9             7403.9
  874.19          147.23            0.00            0.00           730.1             9163.7             8342.2
  365.62          453.01            0.00            0.00           760.9             9244.4             8530.5
  568.43          924.04            0.00            0.00           735.6             8930.9             7945.2
   33.11          526.19            0.00            0.00           735.2             9295.7             7982.2
  740.44          911.24            0.00            0.00           731.0             9324.4             8554.6
  769.51          562.70            0.00            0.00           731.4             8909.6             8313.1
  328.50          519.89            0.00            0.00           743.7             9043.0             7853.7
  592.98          472.02            0.00            0.00           735.9             8866.0             8228.3
  873.35          260.25            0.00            0.00           730.3             8955.1             8418.6
  355.94          332.37            0.00            0.00           756.7             8292.6             7485.4
  929.52          796.05            0.00            0.00           736.2             8534.6             7577.5
   93.36           79.64            0.00            0.00           752.1             8628.0             7275.1
